match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,139.0,3,0,0,raspberry_full_control
1,2,raspberry,132.5,3,0,0,raspberry_full_control
2,1,raspberry,142.0,3,0,0,raspberry_full_control
2,2,raspberry,142.0,3,0,0,raspberry_full_control
3,1,raspberry,142.5,3,0,0,raspberry_full_control
3,2,raspberry,134.0,3,0,0,raspberry_full_control
4,1,raspberry,147.5,3,0,0,raspberry_full_control
4,2,raspberry,141.0,3,0,0,raspberry_full_control
5,1,raspberry,152.0,3,0,0,raspberry_full_control
5,2,raspberry,140.0,3,0,1,raspberry_full_control
6,1,raspberry,149.0,3,0,0,raspberry_full_control
6,2,raspberry,145.5,3,0,0,raspberry_full_control
7,1,raspberry,135.0,3,0,0,raspberry_full_control
7,2,raspberry,151.5,3,0,0,raspberry_full_control
8,1,raspberry,144.0,3,0,0,raspberry_full_control
8,2,raspberry,141.0,3,0,0,raspberry_full_control
9,1,raspberry,140.0,3,0,0,raspberry_full_control
9,2,raspberry,141.5,3,0,0,raspberry_full_control
10,1,raspberry,131.5,3,0,0,raspberry_full_control
10,2,raspberry,149.0,3,0,0,raspberry_full_control
