match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,1,3,5,0,upgrade_focus,mixed_composition
2,raspberry,2,0,2,4,0,upgrade_focus,mixed_composition
3,raspberry,2,0,2,3,0,upgrade_focus,special_focus
4,raspberry,2,1,3,6,0,upgrade_focus,mixed_composition
5,raspberry,2,1,3,4,0,upgrade_focus,mixed_composition
6,blueberry,0,2,2,2,0,upgrade_focus,mixed_composition
7,raspberry,2,0,2,5,0,upgrade_focus,mixed_composition
8,raspberry,2,0,2,3,0,upgrade_focus,special_focus
9,raspberry,2,1,3,7,0,upgrade_focus,mixed_composition
10,raspberry,2,0,2,4,0,upgrade_focus,mixed_composition
